case,group,split,buggy_path,fixed_path,buggy_lines,fixed_lines,lines_deleted,lines_added,lines_modified,total_lines_changed,api_drift,identifier_jaccard,qchecker_findings,qchecker_rules,qchecker_ast_ok,rule_apr_lines_f1,rule_apr_lines_p,rule_apr_lines_r,rule_apr_rules,rule_apr_num_edits
Aer/bug_1,Aer,train,/home/claude/grap4q_extract/q1j_paper+code/Bugs4Q-Database/Aer/bug_1/buggy.py,/home/claude/grap4q_extract/q1j_paper+code/Bugs4Q-Database/Aer/bug_1/fixed.py,18,17,1,0,0,1,0.0,0.9545,1,QC04,True,0.0,0.0,0.0,,0
Aer/bug_10,Aer,train,/home/claude/grap4q_extract/q1j_paper+code/Bugs4Q-Database/Aer/bug_10/buggy.py,/home/claude/grap4q_extract/q1j_paper+code/Bugs4Q-Database/Aer/bug_10/fixed.py,48,48,0,0,1,1,0.0,0.9844,0,,True,0.0,0.0,0.0,R6,1
Aer/bug_7,Aer,train,/home/claude/grap4q_extract/q1j_paper+code/Bugs4Q-Database/Aer/bug_7/buggy.py,/home/claude/grap4q_extract/q1j_paper+code/Bugs4Q-Database/Aer/bug_7/fixed.py,11,12,0,1,1,2,0.0,1.0,3,"QC02,QC03,QC04",True,0.0,0.0,0.0,,0
Cirq/1,Cirq,val,/home/claude/grap4q_extract/q1j_paper+code/Bugs4Q-Database/Cirq/1/buggy.py,/home/claude/grap4q_extract/q1j_paper+code/Bugs4Q-Database/Cirq/1/fixed.py,18,18,0,0,2,2,0.0,1.0,0,,True,0.0,0.0,0.0,,0
Cirq/2,Cirq,train,/home/claude/grap4q_extract/q1j_paper+code/Bugs4Q-Database/Cirq/2/buggy.py,/home/claude/grap4q_extract/q1j_paper+code/Bugs4Q-Database/Cirq/2/fixed.py,26,26,0,0,1,1,0.0,0.9,0,,True,0.0,0.0,0.0,,0
Cirq/3,Cirq,train,/home/claude/grap4q_extract/q1j_paper+code/Bugs4Q-Database/Cirq/3/buggy.py,/home/claude/grap4q_extract/q1j_paper+code/Bugs4Q-Database/Cirq/3/fixed.py,23,23,0,0,1,1,0.0,0.8636,0,,True,0.0,0.0,0.0,,0
Cirq/4,Cirq,train,/home/claude/grap4q_extract/q1j_paper+code/Bugs4Q-Database/Cirq/4/buggy.py,/home/claude/grap4q_extract/q1j_paper+code/Bugs4Q-Database/Cirq/4/fixed.py,9,9,0,6,7,13,0.0,0.5556,0,,False,0.0,0.0,0.0,,0
Cirq/5,Cirq,train,/home/claude/grap4q_extract/q1j_paper+code/Bugs4Q-Database/Cirq/5/buggy.py,/home/claude/grap4q_extract/q1j_paper+code/Bugs4Q-Database/Cirq/5/fixed.py,12,17,0,9,8,17,0.0,0.5,0,,True,0.0,0.0,0.0,,0
Cirq/6,Cirq,train,/home/claude/grap4q_extract/q1j_paper+code/Bugs4Q-Database/Cirq/6/buggy.py,/home/claude/grap4q_extract/q1j_paper+code/Bugs4Q-Database/Cirq/6/fixed.py,15,15,0,0,2,2,0.0,0.913,0,,True,0.0,0.0,0.0,,0
Cirq/7,Cirq,train,/home/claude/grap4q_extract/q1j_paper+code/Bugs4Q-Database/Cirq/7/buggy.py,/home/claude/grap4q_extract/q1j_paper+code/Bugs4Q-Database/Cirq/7/fixed.py,27,27,0,0,1,1,0.0,1.0,0,,True,0.0,0.0,0.0,,0
